Number,Contract Company,Contract Type,Title,ERP Status,Status,Executed,Original Contract Amount,Approved Change Orders,Revised Contract Amount,Pending Change Orders,Draft Change Orders,Invoiced,Payments Issued,% Paid,Remaining Balance Outstanding,Signatures Required,Private,Vendor,Primary Contact,Vendor Zip Code,Vendor Street,Vendor State,Company Name,Vendor Fax,Vendor Phone,Project Number,Project Name,Vendor City,Email Address,Description,Signed Contract Received Date,Article 4 Subcontractor Bond,Article 8.4.1 Completed Operations Limit,Article 8.4.1 General Aggregate Limit,Article 8.5.1 Umbrella Limit,ME&S License Holder Name
22032.502,Sarasota Blinds and Shutters,Purchase Order,Window blinds,Synced,Approved,Yes,3000,2906.4,5906.4,0,0,0,0,0,5906.4,,Yes,Sarasota Blinds and Shutters,,34232,3339 Spainwood Dr,FL,"McIntyre Elwell & Strammer General Contractors, Inc.",,941-952-8966,MES-22-032,Freedom ES New Classroom Building,Sarasota,,"<p><br><span style=""font-size:10pt;"">Provide all labor, materials, and equipment required to completely furnish and install all  (24) Hunter Douglas Vertical Blinds with wand, and to include all accessories required for a complete and proper installation, as required by and in strict accordance with this Subcontractor Purchase Order and scope of work defined herein.</span></p>
<p><br><span style=""font-size:10pt;"">* Provide submittals for approval</span></p>
<p> </p>
<p><em><strong>ALL SITE WORKERS MUST BE COMPLIANT WITH THE JESSICA LUNSFORD ACT, WHICH REQUIRES A LEVEL II BACKGROUND CHECK</strong></em></p>
<p> </p>",9/26/2022,,,,,
22032.02,"Spectrum Underground, Inc.",Subcontract,"Demo, Sitework & Utilities",Synced,Approved,Yes,217593,90908,308501,0,0,0,0,0,308501,,Yes,"Spectrum Underground, Inc.",,34233,"5802 Bee Ridge Rd., Suite 101",FL,"McIntyre Elwell & Strammer General Contractors, Inc.",941-342-6710,941-342-6708,MES-22-032,Freedom ES New Classroom Building,Sarasota,,"<p><span style=""font-size:12pt;"">Subcontractor: <span class=""mce-nbsp-wrap"">   </span><span class=""mce-nbsp-wrap"">   </span><span class=""mce-nbsp-wrap"">   </span>Spectrum Underground, Inc.</span></p>
<p>Scope / Title:                     Sitework</p>
<p>Cost Code:                        02-010</p>
<p>Amount:<span class=""mce-nbsp-wrap"">   </span><span class=""mce-nbsp-wrap"">   </span><span class=""mce-nbsp-wrap"">   </span><span class=""mce-nbsp-wrap"">   </span><span class=""mce-nbsp-wrap"">   </span><span class=""mce-nbsp-wrap"">   </span><span class=""mce-nbsp-wrap"">   </span><span class=""mce-nbsp-wrap"">   </span><span class=""mce-nbsp-wrap"">   </span>$217,593.00</p>
<p> </p>
<p>Subcontractor Bond:No</p>
<p> </p>
<p>Insurance Limits:</p>
<p>Up to $249,999: General Aggregate / Completed Operations Limits - $1M/$1M</p>
<p>$250,000-$399,999: General Aggregate / Completed Operations Limits - $2M/$2M, Umbrella $2M</p>
<p>$400,000 and Above: General Aggregate / Completed Operations Limits - $2M/$2M, Umbrella $5M</p>",9/13/2022,IS NOT,"$1,000,000 ","$1,000,000 ","$1,000,000 ",Mark Freeman
22032.503,Florida Chalkboard Co.,Purchase Order,White Boards,Synced,Approved,Yes,28000,-3782,24218,0,0,0,0,0,24218,,Yes,Florida Chalkboard Co.,,32703,PO Box 1360,FL,"McIntyre Elwell & Strammer General Contractors, Inc.",407-889-4378,407-889-0087,MES-22-032,Freedom ES New Classroom Building,Apopka,sales@floridachalkboard.com,"<br>Provide labor, material and equipment to furnish &amp; install the following wall mounted markerboards by ""Claridge"".<br><br>
<ul>
<li>16 ea. 5'h x 8'L White Boards Series 4 LCS3 Satin Anodized Aluminum Tray 1"" Maprail and Trim Accessories.</li>
<li>Install 3/20/2033</li>
</ul>
<br><br>
<p> <em><strong><span style=""font-size:9.5pt;"">ALL SITE WORKERS MUST BE COMPLIANT WITH THE JESSICA LUNSFORD ACT, WHICH REQUIRES A LEVEL II BACKGROUND CHECK</span></strong></em><br><br></p>
<p> </p>",10/11/2022,,,,,
22032.504,"Geosurv, LLC",Purchase Order,Surveying,Synced,Approved,Yes,7000,0,7000,0,0,0,0,0,7000,,Yes,"Geosurv, LLC",,34207,"Surveying & Mapping
5707 19th St W",FL,"McIntyre Elwell & Strammer General Contractors, Inc.",866-624-5163,877-407-3734,MES-22-032,Freedom ES New Classroom Building,Bradenton,info@geosurveygroup.com,"<p>Provide all labor, material, and equipment to provide the following survey work:</p>
<p> </p>
<table class=""mce-table"" border=""1px double #000"" style=""border-collapse:collapse;border-color:#000;"">
<tbody>
<tr>
<td>1.  </td>
<td> Site control, benchmarks </td>
<td> $     800.00</td>
</tr>
<tr>
<td>2.  </td>
<td> Site layout, building pad, storm drainage </td>
<td> $  1,600.00</td>
</tr>
<tr>
<td>3.  </td>
<td> Building Corner Layout</td>
<td> $  1,000.00</td>
</tr>
<tr>
<td>4.  </td>
<td> As-built field locates and surveys </td>
<td> $  3,000.00</td>
</tr>
<tr>
<td>5.  </td>
<td>FEMA Certificates</td>
<td> $     600.00</td>
</tr>
<tr>
<td> </td>
</tr>
</tbody>
</table>",10/25/2022,,,,,
22032.505,Mardale Specialties Direct Inc,Purchase Order,Toilet Accessories ,Synced,Approved,Yes,10283,-400,9883,0,0,0,0,0,9883,,Yes,Mardale Specialties Direct Inc,,33760,14038 63rd Way N,FL,"McIntyre Elwell & Strammer General Contractors, Inc.",(727) 772-9630,239-690-1001,MES-22-032,Freedom ES New Classroom Building,Clearwater,,"<div style=""text-align:center;"">
<p style=""text-align:left;"">Provide all labor, materials, and equipment required to completely furnish and install all Toilet Accessories, Fire Extinguishers and Cabinets and to include all accessories required for a complete and proper installation, as required by and in strict accordance with the Contract Documents, this Purchase Order, and scope of work defined herein.</p>
<p> </p>
<p style=""text-align:left;""><em><strong><span style=""font-size:9.5pt;"">ALL SITE WORKERS MUST BE COMPLIANT WITH THE JESSICA LUNSFORD ACT, WHICH REQUIRES A LEVEL II BACKGROUND CHECK</span></strong></em></p>
<p><span style=""font-size:9.5pt;""> </span></p>
 </div>",12/6/2022,,,,,
22032.506,"Hees & Associates, Inc.",Purchase Order,Canopy Foundation Design,Synced,Approved,Yes,2500,0,2500,0,0,0,0,0,2500,Greg Schlabach,Yes,"Hees & Associates, Inc.",,34236,1381 Fifth St,FL,"McIntyre Elwell & Strammer General Contractors, Inc.",941-955-9333,941-955-4555,MES-22-032,Freedom ES New Classroom Building,Sarasota,,"<p>Provide design services for the canopy foundation at Freedom Elementary project in accordance with Hees &amp; Associates’ proposal dated November 28, 2022.</p>
<p><span style=""font-size:12pt;"">  </span></p>",11/28/2022,,,,,
22032.507,Irrigation Design Associates,Purchase Order,Irrigation Cut/ Cap,Synced,Approved,Yes,611.31,14684.2,15295.51,0,0,0,0,0,15295.51,,Yes,Irrigation Design Associates,,34240,6175 Palmer Blvd,FL,"McIntyre Elwell & Strammer General Contractors, Inc.",941-925-8987,941-927-1279,MES-22-032,Freedom ES New Classroom Building,Sarasota,,<p>Provide labor and material to locate and cut/ cap irrigation in conflict with the building pad and/ or utilities.</p>,12/7/2022,,,,,
22032.021,Alarm & Communication Systems,Subcontract,Intrusion Detection,Synced,Approved,No,22174.16,0,22174.16,0,0,0,0,0,22174.16,,Yes,Alarm & Communication Systems,,33614,4301 W South Avenue,FL,"McIntyre Elwell & Strammer General Contractors, Inc.",(813) 879-0768,813-873-1851,MES-22-032,Freedom ES New Classroom Building,Tampa,,"<p><span style=""text-decoration:underline;"">CE #041 - UCF-BT 14 Intrusion Detection</span></p>
<p><span style=""font-size:12pt;"">USE GC Contingency to cover the cost of Intrusion Detection</span></p>",9/26/2023,IS NOT,"$1,000,000 ","$1,000,000 ","$1,000,000 ",Josh Tomlinson
22032.508,"H & H Signs, Inc.",Purchase Order,Signage,Synced,Approved,Yes,6837.3,1066.79,7904.09,0,0,0,0,0,7904.09,,Yes,"H & H Signs, Inc.",,34285,426 E. Venice Ave,FL,"McIntyre Elwell & Strammer General Contractors, Inc.",941-484-8933,941-485-0556,MES-22-032,Freedom ES New Classroom Building,Venice,,"<p>Provide all labor, materials, and equipment required to completely furnish and install all <em><strong>Signage per ASI #5 </strong></em> work, and to include all accessories required for a complete and proper installation, as required by and in strict accordance with the Contract Documents, this Purchase Order, and scope of work defined herein.</p>
<p> </p>
<p style=""text-align:center;""><span style=""font-size:8pt;""><em><strong>ALL SITE WORKERS MUST BE COMPLIANT WITH THE JESSICA LUNSFORD ACT, WHICH REQUIRES A LEVEL II BACKGROUND CHECK</strong></em></span></p>
<p><span style=""font-size:9.5pt;""> </span></p>",6/8/2023,,,,,
22032.509,Agriscapes LLC,Purchase Order,Bahia Sod @ Freedom Elementary,Synced,Approved,Yes,8100,7380,15480,0,0,0,0,0,15480,,Yes,Agriscapes LLC,,34266-3944,121 S Orange Ave,FL,"McIntyre Elwell & Strammer General Contractors, Inc.",,941-932-3050,MES-22-032,Freedom ES New Classroom Building,Arcadia,,"<p><span style=""font-size:10pt;"">Provide all labor, materials, and equipment required to completely furnish and install all <em><strong>18,000 sf of Bahia Sod</strong></em>, and to include all accessories required for a complete and proper installation, as required by and in strict accordance with the Contract Documents, this Purchase Order, and scope of work defined herein.</span></p>
<p> </p>
<p style=""text-align:center;""><span style=""font-size:8pt;""><em><strong>ALL SITE WORKERS MUST BE COMPLIANT WITH THE JESSICA LUNSFORD ACT, WHICH REQUIRES A LEVEL II BACKGROUND CHECK</strong></em></span></p>",6/23/2023,,,,,
22032.51,New View Cleaning Services Inc,Purchase Order,Final Cleaning,Synced,Approved,Yes,4300,150,4450,0,0,0,0,0,4450,,Yes,New View Cleaning Services Inc,,34222-4008,2411 10th St Ct E Unit B,FL,"McIntyre Elwell & Strammer General Contractors, Inc.",941-955-4090,941-955-4060,MES-22-032,Freedom ES New Classroom Building,Ellenton,,"<p>Provide all labor, material and equipment to perform the final cleaning and strip/ wax of VCT including minimum (2) coats of wax (iShine).<br><br><em><strong><span style=""font-size:9.5pt;"">ALL SITE WORKERS MUST BE COMPLIANT WITH THE JESSICA LUNSFORD ACT, WHICH REQUIRES A LEVEL II BACKGROUND CHECK</span></strong></em></p>",6/24/2023,,,,,
